,FirstName_x,LastName_x,DateOfBirth_x,FullName_x,MatchedFullName,FullNameScore,FullNameIndex,MatchedFirstName,FirstNameScore,FirstNameIndex,MatchedLastName,LastNameScore,LastNameIndex,FirstName_y,LastName_y,DateOfBirth_y,Revenue,FullName_y
69,mary,trevino,2008-10-23,marytrevino,marytrevino,100.0,50,mary,100.0,47,trevino,100.0,49,mary,trevino,2008-10-23,141861,marytrevino
70,lynn,murray,2006-06-20,lynnmurray,lynnumrray,90.0,51,lynn,100.0,48,murray,100.0,20,lynn,umrray,2006-06-20,204761,lynnumrray
71,andrew,pugh,1950-08-09,andrewpugh,adnrewpugh,90.0,52,andrew,100.0,58,pugh,100.0,51,adnrew,pugh,1950-08-09,494463,adnrewpugh
72,christina,bean,2008-04-23,christinabean,christinaeban,92.30769,53,christina,100.0,50,eban,75.0,52,christina,eban,2008-04-23,177563,christinaeban
73,jeremy,lee,1957-10-20,jeremylee,jeffreymckee,66.666664,317,jeremy,100.0,321,lee,100.0,104,jeffrey,mckee,1958-11-15,268513,jeffreymckee
74,charlene,douglas,1975-04-27,charlenedouglas,charlenedouglas,100.0,54,charlene,100.0,51,douglas,100.0,41,charlene,douglas,1975-04-27,24537,charlenedouglas
75,james,barrett,1969-08-24,jamesbarrett,jamesbarertt,91.666664,55,james,100.0,32,barrett,100.0,118,james,barertt,1969-08-24,338272,jamesbarertt
76,michael,walker,1928-02-27,michaelwalker,michaelwalker,100.0,56,michael,100.0,52,walker,100.0,54,michael,walker,1928-02-27,353427,michaelwalker
77,chase,briggs,1981-01-23,chasebriggs,chasebirggs,90.90909,57,chase,100.0,53,riggs,90.90909,433,chase,birggs,1981-01-23,244940,chasebirggs
78,connor,crawford,1948-11-07,connorcrawford,connorcrawford,100.0,58,connor,100.0,44,crawford,100.0,56,connor,crawford,1948-11-07,253842,connorcrawford
79,james,ayala,1950-11-10,jamesayala,jamesayala,100.0,59,james,100.0,32,ayala,100.0,57,james,ayala,1950-11-10,135102,jamesayala
80,haley,gilbert,2017-09-02,haleygilbert,halyegilbert,91.666664,60,halye,80.0,54,gilbert,100.0,58,halye,gilbert,2017-09-02,244848,halyegilbert
81,sean,holland,1927-08-09,seanholland,seanholland,100.0,61,sean,100.0,55,holland,100.0,59,sean,holland,1927-08-09,451622,seanholland
82,jason,moreno,1947-04-06,jasonmoreno,ajsonmoreno,90.90909,62,jason,100.0,78,moreno,100.0,60,ajson,moreno,1947-04-06,278870,ajsonmoreno
83,kyle,hayes,1971-05-17,kylehayes,kylehaeys,88.888885,63,kyle,100.0,57,hayes,100.0,403,kyle,haeys,1971-05-17,167478,kylehaeys
84,andrew,powell,2021-06-08,andrewpowell,andrewpowlel,91.666664,64,andrew,100.0,58,powlel,83.333336,62,andrew,powlel,2021-06-08,59081,andrewpowlel
85,jacob,sanders,1964-05-07,jacobsanders,jacobsadners,91.666664,65,jacob,100.0,59,sadners,85.71429,63,jacob,sadners,1964-05-07,417697,jacobsadners
86,stephanie,hurst,1970-03-26,stephaniehurst,stephnaiehurst,92.85714,66,stephanie,100.0,182,hurst,100.0,64,stephnaie,hurst,1970-03-26,278791,stephnaiehurst
87,joshua,gallegos,1978-12-21,joshuagallegos,joshuagallegos,100.0,67,joshua,100.0,61,gallegos,100.0,65,joshua,gallegos,1978-12-21,419140,joshuagallegos
88,keith,andrade,2002-12-19,keithandrade,keithandrade,100.0,68,keith,100.0,62,andrade,100.0,66,keith,andrade,2002-12-19,67321,keithandrade
89,aaron,fisher,1990-12-30,aaronfisher,aarnofisher,90.90909,69,aaron,100.0,298,fisher,100.0,67,aarno,fisher,1990-12-30,499051,aarnofisher
90,christine,williams,1977-01-20,christinewilliams,christinewilliams,100.0,70,christine,100.0,30,williams,100.0,68,christine,williams,1977-01-20,335478,christinewilliams
91,carla,doyle,1975-01-09,carladoyle,calradoyle,90.0,71,calra,80.0,64,doyle,100.0,69,calra,doyle,1975-01-09,369086,calradoyle
92,jennifer,douglas,2017-06-27,jenniferdouglas,jenniferdouglas,100.0,72,jennifer,100.0,65,douglas,100.0,41,jennifer,douglas,2017-06-27,446890,jenniferdouglas
93,kimberly,mclaughlin,2023-10-10,kimberlymclaughlin,ashleymclaughlin,70.588234,159,kimberly,100.0,175,mclaughlin,100.0,141,ashley,mclaughlin,1958-09-26,2912,ashleymclaughlin
94,jade,smith,1977-11-13,jadesmith,ashelysmith,70.0,23,jade,100.0,169,smith,100.0,23,ashely,smith,2019-01-23,165660,ashelysmith
95,joseph,leon,2019-06-01,josephleon,jsoephleon,90.0,73,joseph,100.0,104,leon,100.0,70,jsoeph,leon,2019-06-01,113208,jsoephleon
96,cynthia,arroyo,1937-05-07,cynthiaarroyo,cynthiaarroyo,100.0,74,cynthia,100.0,67,arroyo,100.0,71,cynthia,arroyo,1937-05-07,301940,cynthiaarroyo
97,jessica,clark,1928-03-25,jessicaclark,jessiacclark,91.666664,75,jessica,100.0,28,clark,100.0,72,jessiac,clark,1928-03-25,495717,jessiacclark
98,robert,ramirez,1993-05-11,robertramirez,robertramirez,100.0,76,robert,100.0,12,ramirez,100.0,73,robert,ramirez,1993-05-11,185554,robertramirez
99,april,simmons,1940-10-06,aprilsimmons,aprilsimmons,100.0,77,april,100.0,69,simmons,100.0,74,april,simmons,,74383,aprilsimmons
100,nicholas,gregory,1938-06-15,nicholasgregory,nihcolasgregory,93.333336,78,nicholas,100.0,41,gregory,100.0,75,nihcolas,gregory,1938-06-15,237120,nihcolasgregory
101,crystal,morgan,1964-09-05,crystalmorgan,crystalmorgna,92.30769,79,crystal,100.0,71,morgan,100.0,480,crystal,morgna,1964-09-05,414092,crystalmorgna
102,marilyn,jones,1969-06-17,marilynjones,mairlynjones,91.666664,80,mairlyn,85.71429,72,jones,100.0,77,mairlyn,jones,1969-06-17,392605,mairlynjones
103,katherine,miller,1930-05-15,katherinemiller,katheirnemiller,93.333336,81,catherine,88.888885,33,miller,100.0,78,katheirne,miller,,485677,katheirnemiller
104,daniel,black,1950-05-01,danielblack,danielblack,100.0,82,daniel,100.0,17,black,100.0,79,daniel,black,1950-05-01,391401,danielblack
105,john,wolfe,1997-04-04,johnwolfe,johnwolfe,100.0,83,john,100.0,9,wolfe,100.0,80,john,wolfe,1997-04-04,463848,johnwolfe
106,todd,brown,1977-09-10,toddbrown,bradbrown,66.666664,166,cody,50.0,25,brown,100.0,135,brad,brown,1989-12-16,413064,bradbrown
107,dave,miles,1983-05-11,davemiles,daevmiles,88.888885,84,daev,75.0,74,miles,100.0,81,daev,miles,1983-05-11,413065,daevmiles
108,david,reyes,1949-04-08,davidreyes,davidreyes,100.0,85,david,100.0,75,reyes,100.0,82,david,reyes,1949-04-08,276424,davidreyes
109,michael,rivas,1959-04-22,michaelrivas,michaelrivas,100.0,86,michael,100.0,52,rivas,100.0,83,michael,rivas,1959-04-22,465616,michaelrivas
110,jonathan,stewart,1959-01-01,jonathanstewart,jonathanstewart,100.0,87,jonathan,100.0,76,stewart,100.0,84,jonathan,stewart,1959-01-01,2707,jonathanstewart
111,shari,goodman,1938-01-26,sharigoodman,sahrigoodman,91.666664,88,sahri,80.0,77,goodman,100.0,85,sahri,goodman,1938-01-26,64134,sahrigoodman
112,jason,flores,1960-02-21,jasonflores,jasonflores,100.0,89,jason,100.0,78,flores,100.0,86,jason,flores,1960-02-21,214549,jasonflores
113,monica,guerrero,1924-09-03,monicaguerrero,monicaguerrero,100.0,90,monica,100.0,79,guerrero,100.0,87,monica,guerrero,1924-09-03,394239,monicaguerrero
114,sarah,miller,1931-09-07,sarahmiller,sarahmiller,100.0,91,sarah,100.0,0,miller,100.0,78,sarah,miller,1931-09-07,300757,sarahmiller
115,glen,owens,1949-05-10,glenowens,glenowens,100.0,92,glen,100.0,80,owens,100.0,46,glen,owens,1949-05-10,165109,glenowens
116,isaac,gonzalez,1930-11-19,isaacgonzalez,alyssagonzalez,74.07407,496,isaca,80.0,297,gonzalez,100.0,240,alyssa,gonzalez,,86110,alyssagonzalez
117,victoria,griffin,1945-04-13,victoriagriffin,victoriagriffni,93.333336,93,victoria,100.0,81,griffni,85.71429,88,victoria,griffni,1945-04-13,459335,victoriagriffni
118,nicole,lowery,2003-08-03,nicolelowery,nihcolasgregory,66.666664,78,nicole,100.0,92,lowery,100.0,506,nihcolas,gregory,1938-06-15,237120,nihcolasgregory
119,kiara,fleming,2006-03-07,kiarafleming,kiaralfeming,91.666664,94,kiara,100.0,82,fleming,100.0,375,kiara,lfeming,2006-03-07,369012,kiaralfeming
120,randy,pittman,1939-01-23,randypittman,arndypittman,91.666664,95,randy,100.0,253,pittman,100.0,90,arndy,pittman,1939-01-23,279194,arndypittman
121,ronald,parker,1992-11-07,ronaldparker,ronadlparker,91.666664,96,ronald,100.0,93,parker,100.0,91,ronadl,parker,1992-11-07,339225,ronadlparker
122,thomas,jimenez,2008-07-17,thomasjimenez,thomsajimenez,92.30769,97,thomas,100.0,35,jimenez,100.0,92,thomsa,jimenez,2008-07-17,453142,thomsajimenez
123,jacob,miller,1932-04-04,jacobmiller,jacobmiller,100.0,98,jacob,100.0,59,miller,100.0,78,jacob,miller,1932-04-04,245887,jacobmiller
124,marie,franklin,1969-01-03,mariefranklin,mariefranklin,100.0,99,marie,100.0,86,franklin,100.0,93,marie,franklin,1969-01-03,133978,mariefranklin
125,lauren,wheeler,1967-10-21,laurenwheeler,laurenwheeler,100.0,100,lauren,100.0,87,wheeler,100.0,94,lauren,wheeler,1967-10-21,401911,laurenwheeler
126,jennifer,lowe,1969-10-03,jenniferlowe,jenniferloew,91.666664,101,jennifer,100.0,65,lowery,80.0,506,jennifer,loew,1969-10-03,399518,jenniferloew
127,amber,white,1975-04-19,amberwhite,maberwhite,90.0,102,amber,100.0,178,white,100.0,96,maber,white,1975-04-19,454400,maberwhite
128,brandon,johnson,2002-01-03,brandonjohnson,brandonjohnson,100.0,103,brandon,100.0,89,johnson,100.0,97,brandon,johnson,2002-01-03,451560,brandonjohnson
129,brandon,johnson,2002-01-03,brandonjohnson,brandonjohnson,100.0,103,brandon,100.0,89,johnson,100.0,97,brandon,johnson,1924-01-30,448394,brandonjohnson
130,michael,dalton,1983-01-13,michaeldalton,michaeldalton,100.0,104,michael,100.0,52,dalton,100.0,98,michael,dalton,1983-01-13,119032,michaeldalton
131,kenneth,smith,1933-02-27,kennethsmith,kennethsmith,100.0,105,kenneth,100.0,90,smith,100.0,23,kenneth,smith,1933-02-27,342750,kennethsmith
132,vanessa,martin,1975-12-03,vanessamartin,vanessamartin,100.0,106,vanessa,100.0,91,martin,100.0,99,vanessa,martin,,43573,vanessamartin
133,james,erickson,1950-09-17,jameserickson,jamesercikson,92.30769,107,james,100.0,32,erickson,100.0,440,james,ercikson,1950-09-17,213301,jamesercikson
134,sarah,sutton,2014-04-30,sarahsutton,sarahmartin,63.636364,325,sarah,100.0,0,stuton,83.333336,557,sarah,martin,1944-02-18,69533,sarahmartin
135,nicole,gibbs,1950-07-09,nicolegibbs,nicolegibbs,100.0,108,nicole,100.0,92,gibbs,100.0,101,nicole,gibbs,1950-07-09,473140,nicolegibbs
136,ronald,armstrong,1937-04-01,ronaldarmstrong,ronaldarmstrnog,93.333336,109,ronald,100.0,93,armstrnog,88.888885,102,ronald,armstrnog,1937-04-01,340374,ronaldarmstrnog
137,jenna,harrington,1986-08-04,jennaharrington,jennaharrington,100.0,110,jenna,100.0,94,harrington,100.0,103,jenna,harrington,1986-08-04,445577,jennaharrington
138,mark,smith,1979-11-03,marksmith,marksmith,100.0,111,mark,100.0,95,smith,100.0,23,mark,smith,1979-11-03,109693,marksmith
139,melissa,lee,1929-07-28,melissalee,melissalee,100.0,112,melissa,100.0,16,lee,100.0,104,melissa,lee,,188229,melissalee
140,nancy,boyd,1965-03-08,nancyboyd,nancyboyd,100.0,113,nancy,100.0,96,boyd,100.0,35,nancy,boyd,1965-03-08,258365,nancyboyd
141,alexis,orr,1972-06-15,alexisorr,alexisorr,100.0,114,alexis,100.0,97,orr,100.0,105,alexis,orr,1972-06-15,238463,alexisorr
142,william,knight,1973-04-26,williamknight,williamknight,100.0,115,william,100.0,98,knight,100.0,106,william,knight,1973-04-26,261736,williamknight
143,shawn,graham,1954-12-24,shawngraham,shawngrahma,90.90909,116,shawn,100.0,99,graham,100.0,491,shawn,grahma,1954-12-24,94038,shawngrahma
144,kyle,sellers,2005-11-16,kylesellers,kathleenmiller,64.0,442,kyle,100.0,57,keller,76.92308,189,kathleen,miller,,482256,kathleenmiller
145,gary,washington,1969-09-02,garywashington,garywashington,100.0,117,gary,100.0,100,washington,100.0,16,gary,washington,1969-09-02,280624,garywashington
146,sylvia,powers,1968-06-25,sylviapowers,lisaporter,63.636364,762,olivia,66.666664,29,owens,72.72727,46,lisa,porter,1995-12-09,285139,lisaporter
147,randall,blair,1954-06-20,randallblair,randallblair,100.0,118,randall,100.0,101,blair,100.0,108,randall,blair,1954-06-20,407664,randallblair
148,kevin,campbell,1981-05-01,kevincampbell,teresacampbell,66.666664,22,kevin,100.0,254,campbell,100.0,22,teresa,campbell,1993-06-26,462940,teresacampbell
149,justin,hurst,1963-12-28,justinhurst,justinhurst,100.0,119,justin,100.0,102,hurst,100.0,64,justin,hurst,1963-12-28,124456,justinhurst
150,nina,ramirez,1979-12-03,ninaramirez,ninarmairez,90.90909,120,nina,100.0,103,ramirez,100.0,73,nina,rmairez,1979-12-03,31996,ninarmairez
151,samantha,bennett,2005-10-13,samanthabennett,samanthairley,64.28571,501,samantha,100.0,327,burnett,71.42857,326,samantha,irley,1954-09-27,443855,samanthairley
152,joseph,freeman,1956-08-21,josephfreeman,josephfreeman,100.0,121,joseph,100.0,104,freeman,100.0,110,joseph,freeman,,239151,josephfreeman
153,christopher,olson,1925-06-17,christopherolson,christopherolson,100.0,122,christopher,100.0,105,olson,100.0,111,christopher,olson,,152543,christopherolson
154,jonathan,brown,1933-05-17,jonathanbrown,anthonybrown,72.0,498,jonathan,100.0,76,brown,100.0,135,anthony,brown,,23358,anthonybrown
155,justin,archer,2023-09-07,justinarcher,jusitnarcher,91.666664,123,justin,100.0,102,archer,100.0,112,jusitn,archer,2023-09-07,252622,jusitnarcher
156,ian,vasquez,1996-03-21,ianvasquez,ianvasquez,100.0,124,ian,100.0,107,vasquez,100.0,113,ian,vasquez,1996-03-21,140289,ianvasquez
157,mark,harris,1947-10-10,markharris,markharris,100.0,125,mark,100.0,95,harris,100.0,114,mark,harris,1947-10-10,374196,markharris
158,roberto,king,1991-01-26,robertoking,robertnkight,78.26087,403,robert,92.30769,12,king,100.0,176,robert,nkight,1931-10-02,360381,robertnkight
159,christopher,miller,1933-05-10,christophermiller,crhistophermiller,94.117645,126,christopher,100.0,105,miller,100.0,78,crhistopher,miller,1933-05-10,239207,crhistophermiller
160,jason,blevins,2000-08-21,jasonblevins,ajsonblevins,91.666664,127,jason,100.0,78,blevins,100.0,115,ajson,blevins,2000-08-21,235092,ajsonblevins
161,juan,jones,1976-11-28,juanjones,juanjones,100.0,128,juan,100.0,109,jones,100.0,77,juan,jones,1976-11-28,495971,juanjones
162,janet,bell,1983-11-21,janetbell,jnaetbell,88.888885,129,janet,100.0,320,bell,100.0,116,jnaet,bell,,124943,jnaetbell
163,brittany,holland,2017-09-21,brittanyholland,brittanyhollnad,93.333336,130,brittany,100.0,111,holland,100.0,59,brittany,hollnad,2017-09-21,154858,brittanyhollnad
164,nicholas,barrett,1984-07-04,nicholasbarrett,nicohlasbarrett,93.333336,131,nicholas,100.0,41,barrett,100.0,118,nicohlas,barrett,1984-07-04,398970,nicohlasbarrett
165,kayla,sawyer,2002-08-25,kaylasawyer,kaylasawyer,100.0,132,kayla,100.0,113,sawyer,100.0,119,kayla,sawyer,2002-08-25,343879,kaylasawyer
166,matthew,cooley,1983-04-12,matthewcooley,matthwecooley,92.30769,133,matthew,100.0,19,cooley,100.0,120,matthwe,cooley,1983-04-12,262402,matthwecooley
167,darrell,daniels,1937-06-25,darrelldaniels,darrelldaniels,100.0,134,darrell,100.0,115,daniels,100.0,121,darrell,daniels,1937-06-25,20581,darrelldaniels
168,christopher,reeves,2007-08-11,christopherreeves,christopherereves,94.117645,135,christopher,100.0,105,ereves,83.333336,122,christopher,ereves,2007-08-11,359743,christopherereves
169,leslie,lee,1986-06-18,leslielee,leslielee,100.0,136,leslie,100.0,116,lee,100.0,104,leslie,lee,1986-06-18,414853,leslielee
